keyword,frequency
june,26
chars,20
people,17
friday,13
the u.s.,12
researchers,11
scientists,10
saturday,8
time,8
the united states,8
fans,8
july,7
amp,7
los angeles,7
years,7
game,7
a look,7
the time,6
the company,6
apple,6
thousands,6
the world cup,6
the u.s. open,6
the game,6
authorities,5
iran,5
gas,5
president donald trump,5
millions,5
sunday,5
the story,5
taylor swift,5
the death,5
new york,5
the first time,5
california,5
life,5
washington,5
the weekend,5
day,5
yahoo,5
fox,5
sale,5
tuesday,5
april,5
americans,4
march,4
thursday,4
america,4
big tech,4
